Name,Model,Price,City,Voivodeship,Production Year,Mileage,Engine Type,Engine Capacity
MAN,TGX,109 900 PLN,Sochaczew,Mazowieckie,2015,994 991 km,Diesel,12 419 cm3
MAN,TGX 26.480,196 677 PLN,Dąbrowa Górnicza,Śląskie,2013,709 900 km,2013,Diesel
Mercedes-Benz,1514,48 585 PLN,Ogrodzieniec,Śląskie,2004,292 000 km,Diesel,5 958 cm3
MAN,TGX 18.500 4X2 BLS,58 425 EUR,Stara Łubianka,Wielkopolskie,2018,437 676 km,Diesel,12 419 cm3
MAN,TGA,86 100 PLN,Leszczynek,Łódzkie,2002,439 000 km,2002,Diesel
Mercedes-Benz,1845,145 140 PLN,Ciechanów,Mazowieckie,2014,860 000 km,Diesel,12 809 cm3
Maz 555035,,42 435 PLN,Ogrodzieniec,Śląskie,Niski przebieg,2008,4 764 cm3,109 000 km
Scania,P 94 DB4X2 NB,88 560 PLN,Bogdaniec,Lubuskie,2000,705 000 km,2000,Diesel
Mercedes-Benz,Atego,17 097 PLN,Wołów,Dolnośląskie,2003,427 000 km,Diesel,4 249 cm3
Volvo,340 FE,289 050 PLN,Bogdaniec,Lubuskie,2010,44 000 km,2010,Diesel
Dulevo 5000 Evolution,,153 750 PLN,Bogdaniec,Lubuskie,2015,47 460 km,2015,Diesel
FUSO,Mitsubishi *15 PALET**WINDA**CANTER**3.0 MOTOR IVECO**ISUZU**MASCOTT**ATLEON*,69 000 PLN,Kielce,Świętokrzyskie,2014,279 000 km,Diesel,3 000 cm3
MAN,"tgx 18,500",37 000 EUR,Olsztyn,Warmińsko-mazurskie,2017,603 566 km,Diesel,12 419 cm3
DAF,,121 770 PLN,Grudziądz,Kujawsko-pomorskie,2013,1 000 000 km,2013,Diesel
Renault,Magnum,13 100 EUR,Płock,Mazowieckie,2011,1 290 000 km,Diesel,13 000 cm3
Iveco,Eurocargo 100E,90 000 PLN,Grudziądz,Kujawsko-pomorskie,2015,285 000 km,Diesel,4 485 cm3
Scania,R 480 6X2,159 000 PLN,Dyminy,Świętokrzyskie,2013,730 000 km,Diesel,12 740 cm3
Volvo,FH750,285 000 PLN,Cychry,Zachodniopomorskie,2014,800 000 km,Diesel,16 000 cm3
MAN,TGM 15.250 chłodnia 7.50m Carrier supra 950u Automat Rozstaw osi 5.50m,94 000 PLN,Turek,Wielkopolskie,2012,530 000 km,Diesel,6 871 cm3
Mercedes-Benz,2542,134 070 PLN,Śrem,Wielkopolskie,2014,768 691 km,Diesel,11 526 cm3
MAN,TGX,92 250 PLN,Puławy,Lubelskie,2014,1 318 099 km,Diesel,12 419 cm3
Iveco,EUROCARGO 120E22,76 260 PLN,Miechów,Małopolskie,2012,590 000 km,Diesel,5 880 cm3
Mercedes-Benz,1842,105 780 PLN,Śrem,Wielkopolskie,2013,899 562 km,Diesel,11 526 cm3
Mercedes-Benz,ACTROS   2545   6X2,172 200 PLN,Kłodawa,Lubuskie,2015,687 000 km,Diesel,12 809 cm3
Volvo,FH 540,195 000 PLN,Cychry,Zachodniopomorskie,2013,900 000 km,Diesel,1 300 cm3
Scania,420,175 000 PLN,Radom,Mazowieckie,2007,1 000 000 km,2007,Diesel
MAN,TGL 12.250 DŻWIG HDS HIAB Z PILOTEM SKRZYNIA 4M 2 X KAMERA BLOKADA MOSTU SPANIE DUŻA KABINA,120 000 PLN,Bralin,Wielkopolskie,2011,337 012 km,Diesel,6 470 cm3
DAF,XF 105,92 250 PLN,Zakopane,Małopolskie,2012,660 000 km,2012,Diesel
Mercedes-Benz,Actros MP4 1840,23 370 EUR,Kiełpino,Pomorskie,2014,726 214 km,Diesel,10 677 cm3
DAF,XF 105 460,92 250 PLN,Olsztyn,Warmińsko-mazurskie,2013,876 000 km,2013,Diesel
Mercedes-Benz,Actros,104 550 PLN,Brzostek,Podkarpackie,2014,1 011 000 km,2014,Diesel
Mercedes-Benz,ANTOS 2536  PODWOZIE  3 OSIE,133 900 PLN,Rawa Mazowiecka,Łódzkie,2014,617 976 km,Diesel,10 677 cm3
DAF,XF 480 FT Super Space Cab  Low Deck,383 760 PLN,Pietrzykowice,Dolnośląskie,2019,290 745 km,Diesel,12 902 cm3
Mercedes-Benz,VARIO,38 800 PLN,Zamość,Lubelskie,2006,299 000 km,Diesel,4 250 cm3
Volvo,FH4 460,59 000 EUR,Łuków,Lubelskie,2015,977 000 km,2015,Diesel
DAF,LF,84 870 PLN,Grudziądz,Kujawsko-pomorskie,2011,470 000 km,2011,Diesel
MAN,TGA 32.350 Stetter 9m3,108 000 PLN,Warszawa,Mazowieckie,2006,332 000 km,2006,Diesel
Mercedes-Benz,"Econic 1829, śmieciarka jednokomorowa 110-1100 l, 4x2 sprzedaż, wynajem, gwarancja, serwis",36 715 EUR,Bielsko-Biała,Śląskie,2012,128 000 km,Diesel,7 201 cm3
Scania,R500 / XENON / NAVI / TV / ACC / 4 PODUSZKI / I PARK COOL,277 000 PLN,Stary Sącz,Małopolskie,2018,540 000 km,2018,Diesel
Volvo,FH13,145 140 PLN,Bielsko-Biała,Śląskie,2012,1 074 200 km,Diesel,12 777 cm3
DAF,FA LF45,43 480 PLN,Prudnik,Opolskie,2012,387 793 km,Diesel,4 462 cm3
DAF,XF 530,127 372 EUR,Żyrardów,Mazowieckie,2022,45 000 km,2022,Diesel
Scania,G450,156 500 PLN,Ćmińsk,Świętokrzyskie,2015,717 582 km,Diesel,12 742 cm3
DAF,XF 480,258 177 PLN,Skorzeszyce,Świętokrzyskie,2017,540 000 km,Diesel,12 902 cm3
Renault,,103 935 EUR,Skorzeszyce,Świętokrzyskie,2020,300 000 km,Diesel,12 777 cm3
Renault,Magnum,40 467 PLN,Opole,Opolskie,2006,1 648 000 km,Diesel,12 780 cm3
Mercedes-Benz,Atego 1828,76 000 PLN,Kolonowskie,Opolskie,2001,334 305 km,Diesel,6 374 cm3
Mercedes-Benz,ATEGO,153 750 PLN,Nowy Tomyśl,Wielkopolskie,2015,686 189 km,Diesel,7 698 cm3
Mercedes-Benz,MERCEDES-BENZ Actros 1851 LS - 510KM,464 940 PLN,Pietrzykowice,Dolnośląskie,2021,267 134 km,Diesel,12 809 cm3
