Name,Model,Price,City,Voivodeship,Production Year,Mileage,Engine Type,Engine Capacity
Renault,master,49 990 PLN,Poddębice,Łódzkie,2012,310 000 km,Diesel,2 299 cm3
Volkswagen,T6 2.0TDi BEZWYPADKOWY*,71 338 PLN,Świdnik,Lubelskie,2017,152 000 km,Diesel,2 000 cm3
Volkswagen,CRAFTER,61 500 PLN,Nysa,Opolskie,2018,440 703 km,Diesel,1 999 cm3
Iveco,DAILY,71 500 PLN,Daleszyce,Świętokrzyskie,2011,296 884 km,Diesel,3 000 cm3
Renault,MASTER 2.3DCI L3H2 Furgon Blaszak*** POLSKI SALON***,55 700 PLN,Kielce,Świętokrzyskie,2018,340 000 km,Diesel,2 300 cm3
Toyota,PROACE CITY LONG,130 000 PLN,Radomsko,Łódzkie,2023,60 km,Diesel,1 499 cm3
Renault,Master,31 365 PLN,Mielec,Podkarpackie,2012,124 000 km,Diesel,2 000 cm3
Ford,Transit,72 570 PLN,Luboń,Wielkopolskie,2016,144 490 km,2016,Diesel
Ford,Ranger Wildtrack,250 000 PLN,Mielec,Podkarpackie,2020,2 500 km,Diesel,2 000 cm3
Peugeot,Partner,26 900 PLN,Warszawa,Mazowieckie,2017,191 902 km,Diesel,1 560 cm3
Peugeot,Boxer L3H3 165KM,147 721 PLN,Chorzów,Śląskie,2023,1 km,Diesel,2 179 cm3
Volkswagen,Multivan Trendline 2.0 TDI DSG-7 150 KM,169 750 PLN,Świętochłowice,Śląskie,2018,174 908 km,Diesel,1 968 cm3
Iveco,Daily,65 190 PLN,Radom,Mazowieckie,2018,200 000 km,Diesel,2 300 cm3
Ford,Transit,104 550 PLN,Bystrzyca Kłodzka,Dolnośląskie,2019,111 405 km,Diesel,1 995 cm3
Ford,Transit Custom,60 147 PLN,Dąbrówka Wielka,Pomorskie,2017,193 200 km,Diesel,1 995 cm3
Renault,Trafic,59 900 PLN,Okaliniec,Wielkopolskie,2018,188 000 km,Diesel,1 600 cm3
Nissan,NV200,29 500 PLN,Brzezinka,Małopolskie,2011,130 000 km,Diesel,1 461 cm3
Iveco,Daily,139 900 PLN,Okaliniec,Wielkopolskie,2020,69 700 km,Diesel,2 300 cm3
Renault,Master,212 175 PLN,Myślenice,Małopolskie,2022,10 km,Diesel,2 300 cm3
Peugeot,EXPERT L2H1 2.0hdi 145 KM Navi Klima Kamery Hak,62 900 PLN,Rokietnica,Wielkopolskie,2022,19 400 km,Diesel,2 000 cm3
Renault,Master,169 125 PLN,Kraków,Małopolskie,2023,5 km,Diesel,2 299 cm3
Ford,Transit Custom,53 997 PLN,Dąbrówka Wielka,Pomorskie,2016,204 220 km,Diesel,2 198 cm3
Mercedes-Benz,308cdi,25 500 PLN,Sycyna Północna,Mazowieckie,2002,369 000 km,Diesel,2 148 cm3
Fiat,Ducato L2H2 2.2 H3-POWER 140KM DMC 3.5t,148 584 PLN,Rzeszów,Podkarpackie,2023,1 km,Diesel,2 179 cm3
Renault,Master,205 287 PLN,Mirków,Dolnośląskie,2023,3 km,2023,Diesel
Citroën,Berlingo Furgon L2  Blaszak Maxi,43 900 PLN,Rzeszotary,Dolnośląskie,2016,91 298 km,Diesel,1 560 cm3
Ford,CHAUSSON 644,170 000 PLN,Warszawa,Mazowieckie,2022,1 800 km,Diesel,1 995 cm3
Iveco,*SPRZEDAM ZABUDOWE 5.20+WINDA 1000KG ***Daily**50c15**35c17**skrzyniowy*paka,10 800 PLN,Kielce,Świętokrzyskie,2010,10 000 km,Diesel,3 000 cm3
Peugeot,BOXER,22 900 PLN,Olbrachtów,Lubuskie,2008,232 287 km,Diesel,2 198 cm3
Opel,Vivaro,16 900 PLN,Łask,Łódzkie,2006,290 000 km,Diesel,1 870 cm3
Ford,Tourneo Grand Connect,169 900 PLN,Warszawa,Mazowieckie,2023,5 km,Diesel,1 999 cm3
Volkswagen,"Crafter 140 KM ! 2,0 TDI Przejście z kabiny do przestrzeni ładunkowej!",66 666 PLN,Łódź,Łódzkie,2016,182 204 km,Diesel,1 968 cm3
Nissan,Navara 2.5 DCI,33 000 PLN,Białystok,Podlaskie,2011,253 815 km,Diesel,2 488 cm3
Maxus,"E-Deliver 3 6,3m3 122 KM 50,2 KW",148 830 PLN,Łódź,Łódzkie,2022,10 km,2022,Elektryczny
Renault,Kangoo,26 300 PLN,Zgorzelec,Dolnośląskie,2013,157 000 km,Diesel,1 461 cm3
Volkswagen,CRAFTER 177KM,199 000 PLN,Polkowice Dolne,Dolnośląskie,2020,6 200 km,Diesel,1 998 cm3
Citroën,JUMPY,54 000 PLN,Środa Śląska,Dolnośląskie,2017,240 000 km,Diesel,2 000 cm3
Toyota,Proace City,164 697 PLN,Siechnice,Dolnośląskie,2022,5 km,Diesel,1 499 cm3
Renault,TRAFIC 2019r 65tys km JAK NOWY Stan WZOROWY Bluetooth Tempomat LIFT CZUJNIKI PARKOWANIA Vivaro L1H1,69 900 PLN,Wrocław,Dolnośląskie,2019,65 000 km,Diesel,1 600 cm3
Peugeot,BOXER L4 H2,85 854 PLN,Łódź,Łódzkie,2017,172 000 km,Diesel,1 997 cm3
Fiat,DUCATO L4H2 BRYGADÓWKA 6 OSÓB,84 900 PLN,Wilkowice,Wielkopolskie,2016,176 000 km,Diesel,1 997 cm3
Toyota,Proace City,137 145 PLN,Bielany Wrocławskie,Dolnośląskie,2023,6 km,Diesel,1 499 cm3
Volkswagen,crafter,89 500 PLN,Poznań,Wielkopolskie,2012,266 000 km,Diesel,1 968 cm3
Citroën,JUMPER L3H2,119 999 PLN,Tarnowskie Góry,Śląskie,2020,49 000 km,Diesel,2 179 cm3
Renault,kangoo-express/van,94 900 PLN,Poznań,Wielkopolskie,2022,13 554 km,Diesel,1 461 cm3
Toyota,proace,98 700 PLN,Poznań,Wielkopolskie,2018,130 976 km,Diesel,1 997 cm3
Iveco,DAILY,16 900 PLN,Stary Sącz,Małopolskie,2007,308 000 km,Diesel,2 300 cm3
Opel,VIVARO,23 500 PLN,Toruń,Kujawsko-pomorskie,2011,280 218 km,Diesel,1 995 cm3
Renault,Trafic,32 900 PLN,Płock,Mazowieckie,2014,195 000 km,Diesel,2 000 cm3
Mercedes-Benz,Sprinter 317 9-g,185 000 PLN,Polkowice Dolne,Dolnośląskie,2022,33 200 km,Diesel,1 950 cm3
